ind,aggregation_code,county_name,aggregation_name,cohort,gender,dropout_pct,PUPIL_COUNT_TOT,PER_FEDERAL_EXP,PER_STATE_LOCAL_EXP,PER_TEACH_INEXP,TEACH_PER_PUPIL,ATTENDANCE_RATE,PER_SUSPENSIONS,PER_FREE_LUNCH,cty_pop_under_18,cty_pop_over_65,cty_female,cty_foreign_born,cty_owner_occupied,cty_housing_unit_median_value,cty_pers_pers_household,cty_same_house,cty_non_english,cty_with_computer,cty_with_internet,cty_hs_graduates,cty_uni_degree,cty_time_to_work,cty_med_household_income,cty_poverty,cty_pop_density,COUNSELORS_PER_PUPIL,SOCIAL_PER_PUPIL
28,10402060001,ALBANY,RAVENA SENIOR HIGH SCHOOL,2016 Total Cohort - 4 Year Outcome,Female,0.018518518518518517,524.0,353.0,14176.0,0.12,0.11259541984732824,0.92,0.13,0.33,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.0057251908396946565,0.0019083969465648854
29,10402060001,ALBANY,RAVENA SENIOR HIGH SCHOOL,2016 Total Cohort - 4 Year Outcome,Male,0.09090909090909091,524.0,353.0,14176.0,0.12,0.11259541984732824,0.92,0.13,0.33,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.0057251908396946565,0.0019083969465648854
30,10500010007,ALBANY,COHOES HIGH SCHOOL,2014 Total Cohort - 6 Year Outcome,Female,0.14925373134328357,545.0,545.0,15034.0,0.1,0.10642201834862386,0.89,0.1,0.59,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005504587155963303,0.001834862385321101
31,10500010007,ALBANY,COHOES HIGH SCHOOL,2014 Total Cohort - 6 Year Outcome,Male,0.21153846153846154,545.0,545.0,15034.0,0.1,0.10642201834862386,0.89,0.1,0.59,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005504587155963303,0.001834862385321101
32,10500010007,ALBANY,COHOES HIGH SCHOOL,2015 Total Cohort - 5 Year Outcome,Female,0.1076923076923077,545.0,545.0,15034.0,0.1,0.10642201834862386,0.89,0.1,0.59,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005504587155963303,0.001834862385321101
33,10500010007,ALBANY,COHOES HIGH SCHOOL,2015 Total Cohort - 5 Year Outcome,Male,0.14492753623188406,545.0,545.0,15034.0,0.1,0.10642201834862386,0.89,0.1,0.59,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005504587155963303,0.001834862385321101
34,10500010007,ALBANY,COHOES HIGH SCHOOL,2016 Total Cohort - 4 Year Outcome,Female,0.1,545.0,545.0,15034.0,0.1,0.10642201834862386,0.89,0.1,0.59,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005504587155963303,0.001834862385321101
35,10500010007,ALBANY,COHOES HIGH SCHOOL,2016 Total Cohort - 4 Year Outcome,Male,0.08823529411764706,545.0,545.0,15034.0,0.1,0.10642201834862386,0.89,0.1,0.59,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005504587155963303,0.001834862385321101
36,10601060008,ALBANY,COLONIE CENTRAL HIGH SCHOOL,2014 Total Cohort - 6 Year Outcome,Female,0.03414634146341464,1526.0,153.0,14995.0,0.09,0.08060288335517693,0.9400000000000001,0.02,0.31,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.003931847968545216,0.000655307994757536
37,10601060008,ALBANY,COLONIE CENTRAL HIGH SCHOOL,2014 Total Cohort - 6 Year Outcome,Male,0.04225352112676056,1526.0,153.0,14995.0,0.09,0.08060288335517693,0.9400000000000001,0.02,0.31,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.003931847968545216,0.000655307994757536
38,10601060008,ALBANY,COLONIE CENTRAL HIGH SCHOOL,2015 Total Cohort - 5 Year Outcome,Female,0.011049723756906077,1526.0,153.0,14995.0,0.09,0.08060288335517693,0.9400000000000001,0.02,0.31,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.003931847968545216,0.000655307994757536
39,10601060008,ALBANY,COLONIE CENTRAL HIGH SCHOOL,2015 Total Cohort - 5 Year Outcome,Male,0.021505376344086023,1526.0,153.0,14995.0,0.09,0.08060288335517693,0.9400000000000001,0.02,0.31,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.003931847968545216,0.000655307994757536
40,10601060008,ALBANY,COLONIE CENTRAL HIGH SCHOOL,2016 Total Cohort - 4 Year Outcome,Female,0.020512820512820513,1526.0,153.0,14995.0,0.09,0.08060288335517693,0.9400000000000001,0.02,0.31,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.003931847968545216,0.000655307994757536
41,10601060008,ALBANY,COLONIE CENTRAL HIGH SCHOOL,2016 Total Cohort - 4 Year Outcome,Male,0.02824858757062147,1526.0,153.0,14995.0,0.09,0.08060288335517693,0.9400000000000001,0.02,0.31,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.003931847968545216,0.000655307994757536
42,10623060010,ALBANY,SHAKER HIGH SCHOOL,2014 Total Cohort - 6 Year Outcome,Female,0.015503875968992248,2038.0,143.0,12415.0,0.06,0.08783120706575073,0.96,0.04,0.22,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.004906771344455349,0.0
43,10623060010,ALBANY,SHAKER HIGH SCHOOL,2014 Total Cohort - 6 Year Outcome,Male,0.02631578947368421,2038.0,143.0,12415.0,0.06,0.08783120706575073,0.96,0.04,0.22,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.004906771344455349,0.0
44,10623060010,ALBANY,SHAKER HIGH SCHOOL,2015 Total Cohort - 5 Year Outcome,Female,0.01556420233463035,2038.0,143.0,12415.0,0.06,0.08783120706575073,0.96,0.04,0.22,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.004906771344455349,0.0
45,10623060010,ALBANY,SHAKER HIGH SCHOOL,2015 Total Cohort - 5 Year Outcome,Male,0.02834008097165992,2038.0,143.0,12415.0,0.06,0.08783120706575073,0.96,0.04,0.22,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.004906771344455349,0.0
46,10623060010,ALBANY,SHAKER HIGH SCHOOL,2016 Total Cohort - 4 Year Outcome,Female,0.02127659574468085,2038.0,143.0,12415.0,0.06,0.08783120706575073,0.96,0.04,0.22,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.004906771344455349,0.0
47,10623060010,ALBANY,SHAKER HIGH SCHOOL,2016 Total Cohort - 4 Year Outcome,Male,0.039473684210526314,2038.0,143.0,12415.0,0.06,0.08783120706575073,0.96,0.04,0.22,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.004906771344455349,0.0
48,10701030001,ALBANY,HEATLY SCHOOL,2014 Total Cohort - 6 Year Outcome,Female,0.3333333333333333,263.0,1313.0,14922.0,0.15,0.1482889733840304,0.92,0.09,0.46,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.0038022813688212928,0.0038022813688212928
49,10701030001,ALBANY,HEATLY SCHOOL,2014 Total Cohort - 6 Year Outcome,Male,0.4,263.0,1313.0,14922.0,0.15,0.1482889733840304,0.92,0.09,0.46,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.0038022813688212928,0.0038022813688212928
50,10701030001,ALBANY,HEATLY SCHOOL,2015 Total Cohort - 5 Year Outcome,Female,0.0,263.0,1313.0,14922.0,0.15,0.1482889733840304,0.92,0.09,0.46,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.0038022813688212928,0.0038022813688212928
51,10701030001,ALBANY,HEATLY SCHOOL,2015 Total Cohort - 5 Year Outcome,Male,0.25,263.0,1313.0,14922.0,0.15,0.1482889733840304,0.92,0.09,0.46,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.0038022813688212928,0.0038022813688212928
52,10701030001,ALBANY,HEATLY SCHOOL,2016 Total Cohort - 4 Year Outcome,Female,0.11764705882352941,263.0,1313.0,14922.0,0.15,0.1482889733840304,0.92,0.09,0.46,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.0038022813688212928,0.0038022813688212928
53,10701030001,ALBANY,HEATLY SCHOOL,2016 Total Cohort - 4 Year Outcome,Male,0.1,263.0,1313.0,14922.0,0.15,0.1482889733840304,0.92,0.09,0.46,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.0038022813688212928,0.0038022813688212928
54,10802060005,ALBANY,GUILDERLAND HIGH SCHOOL,2014 Total Cohort - 6 Year Outcome,Female,0.010638297872340425,1532.0,486.0,14319.0,0.07,0.0881201044386423,0.96,0.03,0.16,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.0045691906005221935,0.0019582245430809398
55,10802060005,ALBANY,GUILDERLAND HIGH SCHOOL,2014 Total Cohort - 6 Year Outcome,Male,0.027522935779816515,1532.0,486.0,14319.0,0.07,0.0881201044386423,0.96,0.03,0.16,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.0045691906005221935,0.0019582245430809398
56,10802060005,ALBANY,GUILDERLAND HIGH SCHOOL,2015 Total Cohort - 5 Year Outcome,Female,0.006060606060606061,1532.0,486.0,14319.0,0.07,0.0881201044386423,0.96,0.03,0.16,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.0045691906005221935,0.0019582245430809398
57,10802060005,ALBANY,GUILDERLAND HIGH SCHOOL,2015 Total Cohort - 5 Year Outcome,Male,0.022222222222222223,1532.0,486.0,14319.0,0.07,0.0881201044386423,0.96,0.03,0.16,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.0045691906005221935,0.0019582245430809398
58,10802060005,ALBANY,GUILDERLAND HIGH SCHOOL,2016 Total Cohort - 4 Year Outcome,Female,0.00625,1532.0,486.0,14319.0,0.07,0.0881201044386423,0.96,0.03,0.16,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.0045691906005221935,0.0019582245430809398
59,10802060005,ALBANY,GUILDERLAND HIGH SCHOOL,2016 Total Cohort - 4 Year Outcome,Male,0.030612244897959183,1532.0,486.0,14319.0,0.07,0.0881201044386423,0.96,0.03,0.16,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.0045691906005221935,0.0019582245430809398
60,11003060002,ALBANY,C A BOUTON MIDDLE SCHOOL HIGH SCHOOL,2014 Total Cohort - 6 Year Outcome,Female,0.02,359.0,189.0,15579.0,0.14,0.116991643454039,0.97,0.01,0.08,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005571030640668524,0.0
61,11003060002,ALBANY,C A BOUTON MIDDLE SCHOOL HIGH SCHOOL,2014 Total Cohort - 6 Year Outcome,Male,0.017857142857142856,359.0,189.0,15579.0,0.14,0.116991643454039,0.97,0.01,0.08,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005571030640668524,0.0
62,11003060002,ALBANY,C A BOUTON MIDDLE SCHOOL HIGH SCHOOL,2015 Total Cohort - 5 Year Outcome,Female,0.0,359.0,189.0,15579.0,0.14,0.116991643454039,0.97,0.01,0.08,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005571030640668524,0.0
63,11003060002,ALBANY,C A BOUTON MIDDLE SCHOOL HIGH SCHOOL,2015 Total Cohort - 5 Year Outcome,Male,0.02,359.0,189.0,15579.0,0.14,0.116991643454039,0.97,0.01,0.08,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725,0.005571030640668524,0.0
