ENTITY_CD,SCHOOL_NAME,YEAR,DISTRICT_CD,DISTRICT_NAME,CSO_NAME,STREET,CITY,PHONE,GRADE_RANGE,NUM_PRINC,NUM_TEACH,NUM_COUNSELORS,NUM_SOCIAL,PER_ATTEND,PER_TURN_ALL,PER_TURN_FIVE_YRS
010201040000,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,2018,01020104,BERNE-KNOX-WESTERLO CSD,JOSEPH NATALE,1738 HELDERBERG TRAIL,BERNE,5188721293,"PK-12, US",2,81,3,2,95,10,20
010201040001,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,2018,01020104,BERNE-KNOX-WESTERLO CSD,MARY SUMMERMATTER,1738 HELDERBERG TRAIL,BERNE,5188721482,"7-12, US",1,50,2,0,,,
010201040002,BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL,2018,01020104,BERNE-KNOX-WESTERLO CSD,AUDREY ROETTGERS,1738 HELDERBERG TRAIL,BERNE,5188722030,K-6,1,37,1,1,,,
010306060000,BETHLEHEM CENTRAL SCHOOL DISTRICT,2018,01030606,BETHLEHEM CSD,THOMAS DOUGLAS,700 DELAWARE AVE,DELMAR,5184397098,"K-12, UE, US",9,346,19,7,97,8,11
010306060003,ELSMERE ELEMENTARY SCHOOL,2018,01030606,BETHLEHEM CSD,KATHERINE KLOSS,247 DELAWARE AVE,DELMAR,5184394996,"K-5, UE",2,26,1,0,,,
010306060004,GLENMONT ELEMENTARY SCHOOL,2018,01030606,BETHLEHEM CSD,LAURA HEFFERNAN,328 RT 9W,GLENMONT,5184631154,K-5,1,37,1,0,,,
010306060005,HAMAGRAEL ELEMENTARY SCHOOL,2018,01030606,BETHLEHEM CSD,DAVID KSANZNAK,1 MCGUFFEY LN,DELMAR,5184394905,"K-5, UE",1,29,1,1,,,
010306060006,SLINGERLANDS ELEMENTARY SCHOOL,2018,01030606,BETHLEHEM CSD,HEIDI BONACQUIST,25 UNION AVE,DELMAR,5184397681,K-5,1,42,0,1,,,
010306060007,BETHLEHEM CENTRAL MIDDLE SCHOOL,2018,01030606,BETHLEHEM CSD,MICHAEL KLUGMAN,332 KENWOOD AVE,DELMAR,5184397460,"6-8, UE, US",1,92,4,2,,,
010306060008,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,2018,01030606,BETHLEHEM CSD,SCOTT LANDRY,700 DELAWARE AVE,DELMAR,5184394921,"9-12, US",1,121,9,1,,,
010306060009,EAGLE ELEMENTARY SCHOOL,2018,01030606,BETHLEHEM CSD,DIANNA REAGAN,27 VAN DYKE RD,DELMAR,5186948825,K-5,2,35,1,0,,,
010402060000,RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,2018,01040206,RAVENA-COEYMANS-SELKIRK CSD,ALAN MCCARTNEY,15 MOUNTAIN RD,RAVENA,5187565200,PK-12,4,182,7,5,99,13,18
010402060001,RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL,2018,01040206,RAVENA-COEYMANS-SELKIRK CSD,THOMAS DIACETIS,2025 RT 9W,RAVENA,5187565200,9-12,1,58,3,2,,,
010402060002,ALBERTUS W BECKER SCHOOL,2018,01040206,RAVENA-COEYMANS-SELKIRK CSD,TRICIA CARLTON,1146 RT 9W,SELKIRK,5187565200,PK-5,1,40,1,1,,,
010402060003,PIETER B COEYMANS SCHOOL,2018,01040206,RAVENA-COEYMANS-SELKIRK CSD,HAKIM JONES,66 CHURCH ST,COEYMANS,5187565200,PK-5,1,41,1,1,,,
010402060008,RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL,2018,01040206,RAVENA-COEYMANS-SELKIRK CSD,PAMELA BLACK,2025 RT 9W,RAVENA,5187565200,6-8,1,51,2,1,,,
010500010000,COHOES CITY SCHOOL DISTRICT,2018,01050001,COHOES CITY SD,JENNIFER SPRING,21 PAGE AVE,COHOES,5182370100,"K-12, UE, US",5,157,5,5,99,4,8
010500010005,ABRAM LANSING SCHOOL,2018,01050001,COHOES CITY SD,CLIFFORD BIRD,26 JAMES ST,COHOES,5182375044,K-5,1,26,0,1,,,
010500010006,VAN SCHAICK ISLAND SCHOOL,2018,01050001,COHOES CITY SD,JACQUELINE DECHIARO,150 CONTINENTAL AVE,COHOES,5182372828,"K-5, UE",1,14,0,1,,,
010500010007,COHOES HIGH SCHOOL,2018,01050001,COHOES CITY SD,JOSEPH RAJCZAK,1 TIGER WAY,COHOES,5182379100,"9-12, US",1,57,3,1,,,
010500010008,COHOES MIDDLE SCHOOL,2018,01050001,COHOES CITY SD,DANIEL MARTINELLI,7 BEVAN ST,COHOES,5182374131,"6-8, UE, US",1,44,2,1,,,
010500010009,HARMONY HILL SCHOOL,2018,01050001,COHOES CITY SD,MARK PERRY,MADELON K HICKEY WAY,COHOES,5182331900,K-5,1,29,0,1,,,
010601060000,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,2018,01060106,SOUTH COLONIE CSD,JONATHAN BUHNER,102 LORALEE DR,ALBANY,5188693576,"PK-12, UE, US",9,343,8,4,94,4,6
010601060003,ROESSLEVILLE SCHOOL,2018,01060106,SOUTH COLONIE CSD,MARYBETH TEDISCO,100 CALIFORNIA AVE,ALBANY,5184592157,PK-4,1,27,0,0,,,
010601060005,SADDLEWOOD ELEMENTARY SCHOOL,2018,01060106,SOUTH COLONIE CSD,MICHAEL MAROHN,100 LORALEE DR,ALBANY,5184562608,PK-4,2,21,0,0,,,
010601060006,SHAKER ROAD ELEMENTARY SCHOOL,2018,01060106,SOUTH COLONIE CSD,WILLIAM DOLLARD,512 ALBANY SHAKER RD,ALBANY,5184581440,K-4,1,23,0,0,,,
010601060008,COLONIE CENTRAL HIGH SCHOOL,2018,01060106,SOUTH COLONIE CSD,CHRISTOPHER ROBILOTTI,1 RAIDER BLVD,ALBANY,5184591220,"9-12, US",1,121,6,1,,,
010601060010,FOREST PARK ELEMENTARY SCHOOL,2018,01060106,SOUTH COLONIE CSD,JILL PENN,100 FOREST DR,ALBANY,5188693006,"K-4, UE",1,24,0,0,,,
010601060011,VEEDER ELEMENTARY SCHOOL,2018,01060106,SOUTH COLONIE CSD,KATHLEEN GOTTSCHALK,25 VEEDER DR,ALBANY,5188694661,K-4,1,28,0,1,,,
010601060012,SAND CREEK MIDDLE SCHOOL,2018,01060106,SOUTH COLONIE CSD,THOMAS NICHOLSON,329 SAND CREEK RD,ALBANY,5184591333,"5-8, UE, US",2,74,1,1,,,
010601060013,LISHA KILL MIDDLE SCHOOL,2018,01060106,SOUTH COLONIE CSD,DAVID WETZEL,68 WATERMAN AVE,ALBANY,5184562306,5-8,1,54,1,1,,,
010615020000,MENANDS UNION FREE SCHOOL DISTRICT,2018,01061502,MENANDS UFSD,MAUREEN LONG,19 WARDS LN,MENANDS,5184654561,K-8,1,29,1,0,97,7,0
010615020001,MENANDS SCHOOL,2018,01061502,MENANDS UFSD,ANTONIETTA SCHROEDER,19 WARDS LN,MENANDS,5184654561,K-8,1,29,1,0,,,
010623060000,NORTH COLONIE CSD,2018,01062306,NORTH COLONIE CSD,D JOSEPH CORR,91 FIDDLERS LN,LATHAM,5187858591,"K-12, UE, US",8,469,21,0,96,8,18
010623060002,BLUE CREEK SCHOOL,2018,01062306,NORTH COLONIE CSD,ANNETTE TRAPINI,100 CLINTON RD,LATHAM,5187857451,K-6,1,42,1,0,,,
010623060003,BOGHT HILLS SCHOOL,2018,01062306,NORTH COLONIE CSD,KIMBERLY GREINER,38 DUNSBACH FERRY RD,COHOES,5187850222,K-6,1,44,1,0,,,
010623060004,FORTS FERRY SCHOOL,2018,01062306,NORTH COLONIE CSD,CANDACE LOBDELL,95 FORTS FERRY RD,LATHAM,5187859203,K-6,1,43,1,0,,,
010623060006,LATHAM RIDGE SCHOOL,2018,01062306,NORTH COLONIE CSD,AARON THIELL,6 MERCER AVE,LATHAM,5187853211,K-6,1,44,1,0,,,
010623060007,LOUDONVILLE SCHOOL,2018,01062306,NORTH COLONIE CSD,KERRY FLYNN,349 OSBORNE RD,LOUDONVILLE,5184341960,K-6,1,29,1,0,,,
010623060008,SOUTHGATE SCHOOL,2018,01062306,NORTH COLONIE CSD,JERRI LYNNE DEDRICK,30 SOUTHGATE RD,LOUDONVILLE,5187856607,"K-6, UE",1,39,1,0,,,
010623060009,SHAKER JUNIOR HIGH SCHOOL,2018,01062306,NORTH COLONIE CSD,RUSSELL MOORE,475 WATERVLIET-SHAKER RD,LATHAM,5187851341,"7-8, US",1,92,5,0,,,
010623060010,SHAKER HIGH SCHOOL,2018,01062306,NORTH COLONIE CSD,RICHARD MURPHY,445 WATERVLIET-SHAKER RD,LATHAM,5187855511,"9-12, US",1,176,10,0,,,
010701030000,GREEN ISLAND UNION FREE SCHOOL DISTRICT,2018,01070103,GREEN ISLAND UFSD,MICHAEL MUGITS,171 HUDSON AVE,GREEN ISLAND,5182731422,K-12,1,34,0,1,97,33,50
010701030001,HEATLY SCHOOL,2018,01070103,GREEN ISLAND UFSD,ERIN PETEANI,171 HUDSON AVE,GREEN ISLAND,5182731422,K-12,1,34,0,1,,,
010802060000,GUILDERLAND CENTRAL SCHOOL DISTRICT,2018,01080206,GUILDERLAND CSD,MARIE WILES,8 SCHOOL RD,GUILDERLAND CENTER,5184566200,"K-12, UE, US",7,418,13,8,95,5,14
010802060001,ALTAMONT ELEMENTARY SCHOOL,2018,01080206,GUILDERLAND CSD,PETER BRABANT,117 GRAND ST,ALTAMONT,5188618528,"K-5, UE",1,30,0,1,,,
010802060003,GUILDERLAND ELEMENTARY SCHOOL,2018,01080206,GUILDERLAND CSD,ALLAN LOCKWOOD,2225 WESTERN AVE,GUILDERLAND,5188690293,K-5,1,42,1,0,,,
010802060004,WESTMERE ELEMENTARY SCHOOL,2018,01080206,GUILDERLAND CSD,BETH BINI,6270 JOHNSTON RD,ALBANY,5184563771,K-5,1,48,1,0,,,
010802060005,GUILDERLAND HIGH SCHOOL,2018,01080206,GUILDERLAND CSD,THOMAS LUTSIC,8 SCHOOL RD,GUILDERLAND CENTER,5188618591,"9-12, US",1,138,8,2,,,
010802060007,LYNNWOOD ELEMENTARY SCHOOL,2018,01080206,GUILDERLAND CSD,ALICIA RIZZO,8 REGINA DR,SCHENECTADY,5183557930,K-5,1,33,0,1,,,
010802060008,FARNSWORTH MIDDLE SCHOOL,2018,01080206,GUILDERLAND CSD,MICHAEL LASTER,6072 STATE FARM RD,GUILDERLAND,5184566010,"6-8, UE, US",1,111,3,3,,,
010802060009,PINE BUSH ELEMENTARY SCHOOL,2018,01080206,GUILDERLAND CSD,CHRISTOPHER SANITA,3437 CARMAN RD,SCHENECTADY,5183572770,"K-5, UE",1,35,0,0,,,
011003060000,VOORHEESVILLE CENTRAL SCHOOL DISTRICT,2018,01100306,VOORHEESVILLE CSD,TERESA SNYDER,432 NEW SALEM RD,VOORHEESVILLE,5187653313,K-12,3,103,4,1,95,10,33
011003060001,VOORHEESVILLE ELEMENTARY SCHOOL,2018,01100306,VOORHEESVILLE CSD,THOMAS REARDON,129 MAPLE AVE,VOORHEESVILLE,5187652382,K-5,1,37,1,0,,,
011003060002,CLAYTON A BOUTON HIGH SCHOOL,2018,01100306,VOORHEESVILLE CSD,PATRICK CORRIGAN,432 NEW SALEM RD,VOORHEESVILLE,5187653314,9-12,1,48,2,0,,,
011003060003,VOORHEESVILLE MIDDLE SCHOOL,2018,01100306,VOORHEESVILLE CSD,JAMES FRANCHINI,432 NEW SALEM RD,VOORHEESVILLE,5187653314,6-8,1,32,1,0,,,
011200010000,WATERVLIET CITY SCHOOL DISTRICT,2018,01120001,WATERVLIET CITY SD,LORI CAPLAN,1245 HILLSIDE DR,WATERVLIET,5186293201,"K-12, UE, US",2,109,5,4,95,7,13
011200010002,WATERVLIET ELEMENTARY SCHOOL,2018,01120001,WATERVLIET CITY SD,THERESA O'BRIEN,2557 10TH AVE,WATERVLIET,5186293400,"K-6, UE",1,53,1,1,,,
011200010010,WATERVLIET JUNIOR-SENIOR HIGH SCHOOL,2018,01120001,WATERVLIET CITY SD,RYAN GROAT,1245 HILLSIDE DR,WATERVLIET,5186293300,"7-12, US",1,56,4,3,,,
020101040000,ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,2018,02010104,ALFRED-ALMOND CSD,RICHARD CALKINS,6795 RT 21,ALMOND,6072766500,"K-12, UE, US",2,53,2,0,97,16,7
020101040001,ALFRED-ALMOND ELEMENTARY SCHOOL,2018,02010104,ALFRED-ALMOND CSD,ROBERT WOUGHTER,6795 RT 21,ALMOND,6072766529,"K-6, UE, US",1,26,0,0,,,
020101040002,ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL,2018,02010104,ALFRED-ALMOND CSD,SUSAN BAIN-LUCEY,6795 RT 21,ALMOND,6072766559,"7-12, US",1,30,2,0,,,
020601040000,ANDOVER CENTRAL SCHOOL DISTRICT,2018,02060104,ANDOVER CSD,LAWRENCE SPANGENBURG,31-35 ELM ST,ANDOVER,6074788491,"PK-12, UE",1,27,1,1,95,9,13
020601040001,ANDOVER SCHOOL,2018,02060104,ANDOVER CSD,JON MORRIS,31-35 ELM ST,ANDOVER,6074788491,"PK-12, UE",1,27,1,1,,,
020702040000,GENESEE VALLEY CENTRAL SCHOOL DISTRICT,2018,02070204,GENESEE VALLEY CSD,BRIAN SCHMITT,1 JAGUAR DR,BELMONT,5852687900,"PK-12, UE, US",2,56,2,0,95,9,7
020702040001,GENESEE VALLEY CENTRAL SCHOOL,2018,02070204,GENESEE VALLEY CSD,BRIAN LEBARON,1 JAGUAR DR,BELMONT,5852687900,"PK-12, UE, US",2,56,2,0,,,
020801040000,BELFAST CENTRAL SCHOOL DISTRICT,2018,02080104,BELFAST CSD,JUDY MAY,1 KING ST,BELFAST,5853652646,"PK-12, US",2,33,0,0,92,15,40
020801040001,BELFAST SCHOOL,2018,02080104,BELFAST CSD,MICHAEL ROCHE,1 KING ST,BELFAST,5853659940,"PK-12, US",2,33,0,0,,,
021102040000,CANASERAGA CENTRAL SCHOOL DISTRICT,2018,02110204,CANASERAGA CSD,MICHAEL GILL,4-8 MAIN ST,CANASERAGA,6075456421,"K-12, UE",1,34,1,0,94,16,25
021102040001,CANASERAGA SCHOOL,2018,02110204,CANASERAGA CSD,SHANNON GILBERT,4-8 MAIN ST,CANASERAGA,6075456421,"K-12, UE",1,34,1,0,,,
021601040000,FRIENDSHIP CENTRAL SCHOOL DISTRICT,2018,02160104,FRIENDSHIP CSD,JUDY MAY,46 W MAIN ST,FRIENDSHIP,5859733534,PK-12,1,35,2,0,95,18,14
021601040004,FRIENDSHIP CENTRAL SCHOOL,2018,02160104,FRIENDSHIP CSD,DONALD PUTNAM,46 W MAIN ST,FRIENDSHIP,5859733311,PK-12,1,35,2,0,,,
022001040000,FILLMORE CENTRAL SCHOOL DISTRICT,2018,02200104,FILLMORE CSD,RAVO ROOT,104 W MAIN ST,FILLMORE,5855672251,"PK-12, UE, US",2,59,1,0,93,8,18
022001040001,FILLMORE CENTRAL SCHOOL,2018,02200104,FILLMORE CSD,MICHAEL DODGE,104 W MAIN ST,FILLMORE,5855672289,"PK-12, UE, US",2,59,1,0,,,
022101040000,WHITESVILLE CENTRAL SCHOOL DISTRICT,2018,02210104,WHITESVILLE CSD,CHARLES CUTLER,692 MAIN ST,WHITESVILLE,6073563301,"PK-12, UE, US",1,25,1,0,97,15,11
022101040001,WHITESVILLE CENTRAL SCHOOL,2018,02210104,WHITESVILLE CSD,TAMMY EMERY,692 MAIN ST,WHITESVILLE,6073563301,"PK-12, UE, US",1,25,0,0,,,
022302040000,CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT,2018,02230204,CUBA-RUSHFORD CSD,CARLOS GILDEMEISTER,5476 RT 305 N,CUBA,5859682650,PK-12,3,75,2,0,94,12,8
022302040001,CUBA-RUSHFORD HIGH SCHOOL,2018,02230204,CUBA-RUSHFORD CSD,CARRIE BOLD,5476 RT 305 N,CUBA,5859682650,9-12,1,33,1,0,,,
022302040002,CUBA-RUSHFORD ELEMENTARY SCHOOL,2018,02230204,CUBA-RUSHFORD CSD,KEVIN ERICKSON,15 ELM ST,CUBA,5859681760,PK-5,1,29,0,0,,,
022302040004,CUBA-RUSHFORD MIDDLE SCHOOL,2018,02230204,CUBA-RUSHFORD CSD,ANDREW RANTZ,5476 RT 305 N,CUBA,5859682650,6-8,1,28,1,0,,,
022401040000,SCIO CENTRAL SCHOOL DISTRICT,2018,02240104,SCIO CSD,GREGORY HARDY,3968 WASHINGTON ST,SCIO,5855935076,PK-12,1,36,0,0,94,10,25
022401040003,SCIO CENTRAL SCHOOL,2018,02240104,SCIO CSD,NANCY SAMPSON,3968 WASHINGTON ST,SCIO,5855935510,PK-12,1,36,0,0,,,
022601060000,WELLSVILLE CENTRAL SCHOOL DISTRICT,2018,02260106,WELLSVILLE CSD,KIMBERLY MUELLER,126 W STATE ST,WELLSVILLE,5855962170,"K-12, UE, US",2,104,3,3,96,11,35
022601060004,WELLSVILLE SENIOR HIGH SCHOOL,2018,02260106,WELLSVILLE CSD,JEFFREY WHITE,126 W STATE ST,WELLSVILLE,5855962182,"6-12, US",1,60,2,2,,,
022601060005,WELLSVILLE ELEMENTARY SCHOOL,2018,02260106,WELLSVILLE CSD,DEAN GIOPULOS,98 SCHOOL ST,WELLSVILLE,5855962104,"K-5, UE",1,46,1,1,,,
022902040000,BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,2018,02290204,BOLIVAR-RICHBURG CSD,JOHN MARSHALL,100 SCHOOL ST,BOLIVAR,5859282561,"PK-12, US",2,72,3,1,96,9,11
022902040001,BOLIVAR-RICHBURG JUNIOR-SENIOR HIGH SCHOOL,2018,02290204,BOLIVAR-RICHBURG CSD,TIM HOUSEKNECHT,100 SCHOOL ST,BOLIVAR,5859282561,"6-12, US",1,43,2,0,,,
022902040002,BOLIVAR-RICHBURG ELEMENTARY SCHOOL,2018,02290204,BOLIVAR-RICHBURG CSD,BRETT DUSINBERRE,211 MAIN ST,RICHBURG,5859281380,K-5,1,30,1,0,,,
022902040003,BOLIVAR-RICHBURG PRE-K PROGRAM,2018,02290204,BOLIVAR-RICHBURG CSD,BRETT DUSINBERRE,422 MAIN ST,BOLIVAR,5859281380,PK,1,0,0,0,,,
030101060000,CHENANGO FORKS CENTRAL SCHOOL DISTRICT,2018,03010106,CHENANGO FORKS CSD,LLOYD PECK,1 GORDON DR,BINGHAMTON,6076487543,PK-12,3,110,4,1,97,6,7
030101060001,CHENANGO FORKS ELEMENTARY SCHOOL,2018,03010106,CHENANGO FORKS CSD,LORRAINE HULBERT,6 PATCH RD,BINGHAMTON,6076487580,PK-5,1,43,0,1,,,
030101060003,CHENANGO FORKS HIGH SCHOOL,2018,03010106,CHENANGO FORKS CSD,JOHN HILLIS,1 GORDON DR,BINGHAMTON,6076487544,9-12,1,44,3,0,,,
030101060004,CHENANGO FORKS MIDDLE SCHOOL,2018,03010106,CHENANGO FORKS CSD,LORRAINE POURBY,1 GORDON DR,BINGHAMTON,6076487576,6-8,1,31,1,0,,,
030200010000,BINGHAMTON CITY SCHOOL DISTRICT,2018,03020001,BINGHAMTON CITY SD,MARION MARTINEZ,164 HAWLEY ST,BINGHAMTON,6077628100,"PK-12, UE, US",12,516,12,11,96,9,19
030200010002,CALVIN COOLIDGE SCHOOL,2018,03020001,BINGHAMTON CITY SD,MARY KAY RYAN,261 ROBINSON ST,BINGHAMTON,6077628291,K-5,1,30,1,0,,,
030200010005,BENJAMIN FRANKLIN ELEMENTARY SCHOOL,2018,03020001,BINGHAMTON CITY SD,SUZANNE THOMAS,262 CONKLIN AVE,BINGHAMTON,6077628344,PK-5,1,53,0,2,,,
030200010008,THOMAS JEFFERSON SCHOOL,2018,03020001,BINGHAMTON CITY SD,KRISTINE BASSO,151 HELEN ST,BINGHAMTON,6077638431,K-5,1,33,0,1,,,
030200010011,MACARTHUR SCHOOL,2018,03020001,BINGHAMTON CITY SD,MARIA MCIVER,1123 VESTAL AVE,BINGHAMTON,6077638485,"PK-5, UE",1,45,0,1,,,
030200010012,THEODORE ROOSEVELT SCHOOL,2018,03020001,BINGHAMTON CITY SD,DAVID CHILSON,9 OGDEN ST,BINGHAMTON,6077628283,"K-5, UE",1,46,1,0,,,
030200010014,WOODROW WILSON SCHOOL,2018,03020001,BINGHAMTON CITY SD,BARBARA MCLEAN,287 PROSPECT ST,BINGHAMTON,6077638442,"K-5, UE",1,44,0,2,,,
030200010015,EAST MIDDLE SCHOOL,2018,03020001,BINGHAMTON CITY SD,LORI CZEITNER,167 E FREDERICK ST,BINGHAMTON,6077628315,"6-8, US",1,68,2,1,,,
030200010016,WEST MIDDLE SCHOOL,2018,03020001,BINGHAMTON CITY SD,MICHAEL HOLLY,W MIDDLE AVE,BINGHAMTON,6077638401,"PK, 6-8, UE, US",1,67,2,1,,,
030200010021,BINGHAMTON HIGH SCHOOL,2018,03020001,BINGHAMTON CITY SD,ROXIE OBERG,31 MAIN ST,BINGHAMTON,6077628239,"PK, 9-12, US",1,131,6,2,,,
030200010022,HORACE MANN SCHOOL,2018,03020001,BINGHAMTON CITY SD,PETER STEWART,30 COLLEGE ST,BINGHAMTON,6077628273,K-5,1,39,0,1,,,
030501040000,HARPURSVILLE CENTRAL SCHOOL DISTRICT,2018,03050104,HARPURSVILLE CSD,KATHLEEN WOOD,54 MAIN ST,HARPURSVILLE,6076938112,K-12,2,68,4,0,93,12,14
030501040001,W A OLMSTED ELEMENTARY SCHOOL,2018,03050104,HARPURSVILLE CSD,JOSHUA QUICK,54 MAIN ST,HARPURSVILLE,6076938115,K-6,1,34,1,0,,,
030501040003,HARPURSVILLE JUNIOR-SENIOR HIGH SCHOOL,2018,03050104,HARPURSVILLE CSD,MICHAEL RULLO,54 MAIN ST,HARPURSVILLE,6076938105,7-12,1,37,3,0,,,
030601060000,SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,2018,03060106,SUSQUEHANNA VALLEY CSD,ROLAND DOIG,1040 CONKLIN RD,CONKLIN,6077750170,"K-12, UE, US",4,117,4,4,93,4,0
030601060001,BROOKSIDE ELEMENTARY SCHOOL,2018,03060106,SUSQUEHANNA VALLEY CSD,NATALIE BRUBAKER,3849 SADDLEMIRE RD,BINGHAMTON,6076694105,"K-5, UE",1,28,0,1,,,
030601060004,F P DONNELLY SCHOOL,2018,03060106,SUSQUEHANNA VALLEY CSD,ERIN ECKERT,1168 CONKLIN RD,CONKLIN,6077750176,K-5,1,20,0,1,,,
030601060005,RICHARD T STANK MIDDLE SCHOOL,2018,03060106,SUSQUEHANNA VALLEY CSD,ROLAND DOIG,1040 CONKLIN RD,CONKLIN,6077750303,"6-8, UE, US",1,34,2,1,,,
